text	label
反映自己上个月未收到话费提醒，请核实后尽快联系用户，投诉问题场景:话费、流量提醒问题；订购记录场景查询结果:提醒类不涉及；综合提醒平台查询结果:无记录\不一致（直接答复,接收/发送时间。	短信提醒问题
转办案件编号:我住在洪山区，我的手机号码是，我11月28日下午通过支付宝在中国电信交了100元话费，确认冲进了我的账户，但是在12月1日下午给我发送短信余额不足，我想了解我这100元是怎么消费的，打了一直没有给我解释，希望有关部门处理。请省公司核实计费是否正常？请联系用户解释清楚。功能名称:1；开通变更情况:1；争议年月:1。	充值缴费问题
短信故障现象:无法发送；短信拦截类型:未拦截；测试短信情况:不涉及；所有,尽快恢复；用户号码状态正常，发送号码正确且未被对方设置拦截，不认可配合换机测试，目前只有联通的手机号无法收发短信。	短信无法收发
称宽带年费到期无任何提醒，联系方式无误，意见很大，要求尽快联系解决。是否在线开机（停机原因场景）:已开机或不符合开机条件；欠费金额情况:大于5元；投诉场景:宽带未催缴（常用短信搜索“联系电话修改”将操作方法推送给用户,停/拆机时间记录:,欠费双停,处理成功,处理成功。	停机前未收到催缴提醒
用户号码认为在，,要求举报，对方说是什么律师事务所的，说用户涉嫌诈骗什么的，用户要求举报核实，内容:，通话时长:3分钟内，接收电话形式:人工拨打。举报时间,备注:用户要求举报核查处理:被举报号码:（无法识别归属地,无法查询归属地），请派单信安部处理。	用户接到骚扰 / 诈骗电话
已发号测试短信，用户接收成功但不认可自助排障。	测试短信接收成功，不认可自助排障
1.赠送/购买时间及地点（业务办理时间,2.是否立即激活:已激活3.终端来源:赠送4.投诉场景:拆机无法归还设备5.详细描述:用户称没有给机顶盒，要求尽快核实。	安装宽带、itv、摄像头
故障发生时间:11月中旬开始；省际漫游投诉问题:语音或语音、上网均无法使用；漫入号码归属省:四川达州；号码状态:号码正常\用户不配合；故障地址:麻城市闵集镇工业园；地图经度:115,地图纬度:31,用户手机信号不好，之前联系过归属地，手机功能均正常，本地网络情况。	漫游语音/上网问题
短信故障现象:无法收发；短信拦截类型:未拦截；测试短信情况:不涉及,生单原因:短信权限问题导致无法发送,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
反映最近手机总是收到106开头的垃圾短信，要求我方拦截屏蔽。	屏蔽骚扰短信
用户反映2条宽带合并都是1299套餐合并，对上个月宽带扣费有争议，一个宽带扣费25元一个扣费，用户询问为什么两个宽带优惠不一样，正常应该是当月变更次月生效，上个月并未全额扣费，用户要求给予扣费解释，要求明白消费，另外11月21缴费680元已解释有480元是宽带专款，另外200是普通存款，用户咨询自己怎么可以单独看到200元，建议查询余额变动明细，请核实告知用户费用结转前10月，并告知怎么单独看每一笔费用来源,争议类型:月租费争议争议费用情况:大于5元争议月份:争议扣费记录:,方东,027-a@ADSL,套餐--ITV使用费,已缴,套餐定价计划:1000元/月，e9自主版套餐的千兆宽带标准价。	费用争议
用户对第二条宽带收费40元/月不认可，原套餐是十全十美家庭套餐(省内版)-199，第二条宽带+电视0元/月，在月变更套餐为5G云套餐十全十美239元档，10元加装第二条宽带和天翼高清，在6月要求还原原资费，查询6月变更为了2018版十全十美199元套餐，但第二条宽带加ITV没有恢复0元，变成了40元/月,要求尽快处理回复争议类型:月租费争议争议费用情况:大于5元争议月份:争议扣费记录:,张伟,@kd,已缴,套餐定价计划:十全十美第二条宽带+电视(高清ITV)(100M。	费用争议
客户反映E8C光猫--E8C光猫出现故障，查询终端配件设备归属:局方，客户要求核查并处理，请协助跟进。是否在保修范围内:否,尽快联系解决。；用户称之前宽带故障，维修师傅告知光猫坏了，用户自行购买了光买，维修师傅并未告知如拆机需归还光猫，已将坏掉的光猫丢了。用户现拆机无设备，要求尽快联系解决。	安装宽带、itv、摄像头
短信故障现象:无法收发；短信拦截类型:拦截；测试短信情况:不涉及,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您，前期工单处理结果建议用户先关机后重启以排除手机软件运行故障，若仍不能解决，建议换机换卡检测终端测试,联系用户未接,联系用户，核实用户短信数据正常，怀疑用户机卡故障，建议用户换机换卡测试，认可；联系用户情况:已联系上用户；用户再次来电称还是无法使用。	短信上网语音使用问题
IM查询用户宽带月租1000元每月，对此扣费不认可，麻烦核实回复，渠道类型:自有营业厅（非武汉）投诉类型:解释、说明、宣传不清晰/错误客户状态:情绪正常业务场景（优先解决业务诉求）:非以上场景存在争议的定价、活动名称:宽带月租营业厅名称（知识库—搜营业厅）:江汉唐家墩营业厅。	费用争议
漫游地（省外）:广西贵港；具体使用地址:广西壮族自治区贵港市桂平市中心；省际漫游投诉问题:上网；故障发生时间:今天；号码状态:正常；4G-LTE及国漫功能:已开通；手机是否已启用4G功能:已启用；漫出地4G信号覆盖:有4G信号覆盖；手机终端类型:4G终端,手机上面只有显示2G信号，重启无效，引导联系漫游地客服，不接受。	漫游语音/上网问题
用户号码认为在，,对用户号码进行骚扰，用户不办理,这个人就用短信轰炸用户举报，内容:贷款理财，通话时长:3分钟内，接收电话形式:人工拨打。举报时间,备注:用户要求举报核查处理:被举报号码:（无法识别归属地,无法查询归属地），请派单信安部处理。	用户接到骚扰 / 诈骗电话
1.主叫号码,2.受理号码,3.联系号码,4.生单原因宣传与活动不一致5.订单号FXI6.用户需求:,用户称网上宣传的51G通用流量和30G定向流量,请尽快回复处理。	宣传与活动不一致
套餐名称:5G云套餐十全十美149元档；套餐销售品ID,电子发票投诉问题,开票状态:无；争议月份:无；发票金额（元）:无；发票邮箱,要求推送10月11月发票；从11月开始不能正常接收发票，查无10月11月发票，用户不认可，要求解决，让发票正常推送，麻烦尽快联系处理。	发票问题
用户号码状态正常，发送号码正确且未被对方设置拦截，不认可配合换机测试，所有。	短信无法发送
客户来电反映，昨天刚才营业厅办理的实名，今天就给停机了，客户不认可，要求解封。停机类型:骚扰单停；处理工号:hb；通话频繁的原因（不涉及填无）:无；单位全称（个人填个人）:无；能否提供工作证明:个人使用，不涉及；机主身份姓名:童逸枫；机主身份证辅助项（三选一）:开卡地市；用户不认可项:反复停机。	身份核验复机问题
周围用户是否正常】:不清楚【经度】:114,纬度】:30,地址】:武汉市武昌区张之洞路解放路社区1栋(张之洞路70号)5楼501室【地址id,基站id,1【受理号码,故障预处理】:本地无法主被叫【故障场景】:所有位置【故障现象】:有信号，正常【故障发生时间】,点【检测BOSS侧付费模式和欠费情况】:后付费【是否存在异常话单】:无异常话单【HLR用户是否登网（关机状态检测,开机【HLR漫游权限查询】:港澳台漫游,国际漫游,检测BOSS侧停开机状态】:开机【检测30天内在途工单】:30天内无在途单,检测HLR侧停开机状态】:异常【呼叫权限】:港澳台呼叫【MSCID位置（仅供内部参考,检测无异常，有位置信息:湖北省武汉【检测无线网状况是否故障】:正常【检测当前是否有拨异网号码超阈值记录】:拨异网号码语音时长没有达阀值【检测HSS中VoLTE数据状态】:正常【检测VOLTE平台用户状态】:用户可以正常呼出呼入【检测ENUM开户数据是否存在】:ENUM开户数据存在【检测用户volte注册状态】:用户未注册VOLTE功能BOSS开机，HLR平台数据异常，请核实。	本地无法主被叫/上网
用户号码认为,在，,对用户号码进行骚扰，接到骚扰电话要求用户加微信，请尽快核实处理,内容:，通话时长:3分钟内，接收电话形式:录音电话。举报时间,备注:用户要求举报核查处理:被举报号码:（无法识别归属地,无法查询归属地），请派单信安部处理。	用户接到骚扰 / 诈骗电话
业务名称:来电秘书；号码状态:正常；投诉问题类型:业务无法正常使用；故障或争议时间:反应自己开通了来电秘书，手机关机了收不到短信，要求上报反应；反应自己开通了来电秘书，手机关机了收不到短信，要求上报反应。	业务办理问题
周围用户是否正常】:不清楚【经度】:114,纬度】:30,地址】:武汉市洪山区狮子山街野芷湖铁路司机学校新宿舍1单元2楼234室LAN【地址id,基站id,受理号码,故障预处理】:本地无法主被叫【故障场景】:所有位置【故障现象】:有信号，正常【故障发生时间】,点【检测BOSS侧付费模式和欠费情况】:后付费【是否存在异常话单】:无异常话单【HLR用户是否登网（关机状态检测,关机【HLR漫游权限查询】:国内漫游,检测BOSS侧停开机状态】:开机【检测30天内在途工单】:30天内无在途单,检测HLR侧停开机状态】:开机【呼叫权限】:国内呼叫【MSCID位置（仅供内部参考,无位置信息【检测无线网状况是否故障】:正常【检测当前是否有拨异网号码超阈值记录】:拨异网号码语音时长没有达阀值【检测HSS中VoLTE数据状态】:正常【检测VOLTE平台用户状态】:用户可以正常呼出呼入【检测ENUM开户数据是否存在】:ENUM开户数据存在【检测用户volte注册状态】:用户未注册VOLTE功能未检测到MSCID位置信息，已建议用户换机换卡，用户未恢复。	语音或上网无法使用
已联系上用户，无法提供资料，请协助处理停开机类型（停机原因-停开机记录区查-看详情）:身份核验(语音)单停；处理工号（停机原因-停开机记录区查-看详情）:xgdxjfa13。	异常停机不认可
短信故障现象:无法收发；短信拦截类型:拦截；测试短信情况:不涉及,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
删除吕梁,增加,14天内行程情况:更新于,您于前14天内到达或途径:吕梁、榆林；行程轨迹故障现象:多行程；异常省份:陕西,自己近14天没有去过吕梁，要求公司尽快核实处理并回复。	行程轨迹（多行程、无行程、少行程）
用户号码状态正常，发送号码正确且未被对方设置拦截，不认可配合换机测试，所有号码,）用户手机因工作需要每天要求群发大量短信，导致短信发送被限制，现已经为用户解除,仍然发送不了短信，用户急。	短信无法收发
短信故障现象:无法收发；短信拦截类型:未拦截；测试短信情况:不涉及,生单原因:短信权限问题导致无法发送,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
省网优预,1447致电用户称手机无法拨打移动运营商的号码，一键检测数据费用正常，无异常话务拦截，无互斥业务，开通SA网络已归档，VOLTE呼入呼出状态正常，VOTLE签约平台正常，请进一步核实。【周围用户是否正常】:是【经度】:114,纬度】:30,地址】:武汉市丽水路美好长江首玺附近【地址id,基站id,受理号码,故障预处理】:本地无法主被叫【故障场景】:所有位置【故障现象】:有信号，正常【故障发生时间】,点【检测BOSS侧付费模式和欠费情况】:后付费【是否存在异常话单】:无异常话单【HLR用户是否登网（关机状态检测,关机【HLR漫游权限查询】:国内漫游【检测BOSS侧停开机状态】:开机【检测30天内在途工单】:30天内无在途单【检测HLR侧停开机状态】:开机【呼叫权限】:国内呼叫【MSCID位置（仅供内部参考,检测无异常，有位置信息:湖北省武汉【检测无线网状况是否故障】:正常【检测当前是否有拨异网号码超阈值记录】:拨异网号码语音时长没有达阀值【检测HSS中VoLTE数据状态】:正常【检测VOLTE平台用户状态】:查询失败【检测ENUM开户数据是否存在】:查询失败【检测用户volte注册状态】:用户未注册VOLTE功能有MSCID位置信息已建议用户换机换卡，用户未恢复,表示自己的手机跟无法拨打移动运营商名下的号码，用户要求后台查明原因回复。请受理,是否为单个通信异常:否；呼入或呼出不畅:呼出。	通话、上网数据问题
客户，通过自有营业厅咨询/办理业务时，对办理差错表示不满意，要求核查处理，客服代表安抚无效，请协助处理,业务类型:固话；营业厅名称:黄石港营业厅；工作人员工号/特征:无；存在的服务问题:业务办理差错,同上；用户反馈自己当时在营业厅申请的是拆机，为何系统办理的停保业务,要求直接线上帮其办理注销即可。	投诉营业厅
反映线上链接通过不了，要求复机，是否停机:是（请进行下一步,停机类型:身份核验(语音)单停；停机时间,处理工号是否是hb:否（请场景按照口径答复用户。	表示通过链接复机到最后一步了,一直没用成功,用户线上链接复机不成功,请联系处理
电子渠道活动-6个月合约,一）销售品内容,合约名称:电子渠道-6个月合约，有效期:自订购次月起6个自然月,用户称要求取消此协议,，表示不需要，要求加急处理并回复。	客户想要取消电子渠道活动-6个月合约,请核实一下
用户号码认为在12月11号，,对用户号码进行骚扰，内容:，通话时长:3分钟内，接收电话形式:人工拨打。举报时间,备注:用户要求举报核查处理:被举报号码:（中国移动-贵州）请派单省业务平台维护中心处理。	用户接到骚扰 / 诈骗电话
1.否认办理业务:视频彩铃2.受理渠道:湖北省增值业务中心3.订单记录:购物车流水:4.机主身份证:5.用户要求:否认办理，根据办理订单解释，用户不认可。	否认改套餐、办理业务
短信故障现象:无法收发；短信拦截类型:未拦截；测试短信情况:不涉及,生单原因:短信权限问题导致无法发送,工单处理时限提醒话术:我们马上核实处理，36小时内会有专人联系您。	短信无法收发
